ID,Label,Type,Parent Class,has pedagogical focus,has literary elements,has guiding standard,Disjoint Class,Domain,Range
ID,LABEL,TYPE,SC %,"C ""has pedagogical focus"" some % SPLIT=,","C ""has literary elements"" some % SPLIT=,","C ""has guiding standard"" some % SPLIT=,",DC %,DOMAIN,RANGE
obo:book_3_1,pedagogical focus,class,obo:book_4,,,,,,
obo:book_3_2,literary elements,class,obo:book_4,,,,,,
obo:book_3_3,guiding standard,class,obo:book_4,,,,,,
obo:book_3_4,has pedagogical focus,object property,,,,,,,
obo:book_3_5,has literary elements,object property,,,,,,,
obo:book_3_6,has guiding standard,object property,,,,,,,
obo:book_3_7,complex language conventions and vocabulary,class,pedagogical focus,,,,,,
obo:book_3_8,historical literary piece with accessible and well-known plot,class,pedagogical focus,,,,,,
obo:book_3_9,character development,class,pedagogical focus,,,,,,
obo:book_3_10,themes related to race and racism,class,pedagogical focus,,,,,,
obo:book_3_11,point of view,class,pedagogical focus,,,,,,
obo:book_3_12,figurative language,class,pedagogical focus,,,,,,
obo:book_3_13,symbolism,class,pedagogical focus,,,,,,
obo:book_3_14,theme,class,pedagogical focus,,,,,,
obo:book_3_15,complex figurative language,class,pedagogical focus,,,,,,
obo:book_3_16,unique geographic setting,class,pedagogical focus,,,,,,
obo:book_3_17,figurative language,class,literary elements,,,,,,
obo:book_3_18,plot,class,literary elements,,,,,,
obo:book_3_19,character development,class,literary elements,,,,,,
obo:book_3_20,conflict,class,literary elements,,,,,,
obo:book_3_21,theme,class,literary elements,,,,,,
obo:book_3_22,point of view,class,literary elements,,,,,,
obo:book_3_23,symbol,class,literary elements,,,,,,
obo:book_3_24,character,class,literary elements,,,,,,
obo:book_3_25,foreshadowing,class,literary elements,,,,,,
obo:book_3_26,irony,class,literary elements,,,,,,
obo:book_11,Romeo and Juliet,class,obo:book_1,"complex language conventions and vocabulary,  historical literary piece with accessible and well-known plot","figurative language, plot, character development, conflict, theme",,,,
obo:book_12,To Kill a Mockingbird,class,obo:book_1,"character development, themes related to race and racism","theme, character development, conflict, plot, point of view",,,,
obo:book_13,Great Gatsby,class,obo:book_1,"character development,  point of view","theme, plot, character, point of view",,,,
obo:book_14,Of Mice and Men,class,obo:book_1,character development,"theme, character development",,,,
obo:book_15,Lord of the Flies,class,obo:book_1,"figurative language, symbolism, theme","plot, character development, conflict, theme, figurative language",,,,
obo:book_16,Fahrenheit 451,class,obo:book_1,,,,,,
obo:book_17,Animal Farm,class,obo:book_1,,,,,,
obo:book_18,Julius Caesar,class,obo:book_1,,,,,,
obo:book_19,Macbeth,class,obo:book_1,,,,,,
obo:book_20,1984,class,obo:book_1,,,,,,
obo:book_21,"Odyssey, The",class,obo:book_1,,,,,,
obo:book_22,"Crucible, The",class,obo:book_1,,,,,,
obo:book_23,"Scarlet Letter, The",class,obo:book_1,,,,,,
obo:book_24,Huckleberry Finn,class,obo:book_1,,,,,,
obo:book_25,Grapes of Wrath,class,obo:book_1,,,,,,
obo:book_26,Hamlet,class,obo:book_1,,,,,,
obo:book_27,Frankenstein,class,obo:book_1,,,,,,
obo:book_28,Beowulf,class,obo:book_1,,,,,,
obo:book_29,Canterbury Tales,class,obo:book_1,,,,,,
obo:book_30,Brave New World,class,obo:book_1,,,,,,
obo:book_31,Thousand Splendid Suns,class,obo:book_1,"complex figurative language, unique geographic setting","theme, point of view, symbol, character, conflict, foreshadowing, irony, figurative language",,,,
